unique_ID,date,tank_ID,species,time_interval,sample_type,treatment,fate,infection_load_GE,
Ri6.1.6,04/07/17,Ri6,Ss,initial,swab,Ss + Hm,euthanased,0.926179066,
Ri6.1.7,04/07/17,Ri6,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri6.1.8,04/07/17,Ri6,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri6.1.9,04/07/17,Ri6,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri7.1.1,04/07/17,Ri7,Ss,initial,swab,Ss (control),euthanased,0.414669961,
Ri7.1.10,04/07/17,Ri7,Ss,initial,swab,Ss (control),euthanased,0,
Ri7.1.2,04/07/17,Ri7,Ss,initial,swab,Ss (control),euthanased,0.127047226,
Ri7.1.3,04/07/17,Ri7,Ss,initial,swab,Ss (control),euthanased,0,
Ri7.1.4,04/07/17,Ri7,Ss,initial,swab,Ss (control),euthanased,0,
Ri7.1.5,04/07/17,Ri7,Ss,initial,swab,Ss (control),euthanased,0,
Ri7.1.6,04/07/17,Ri7,Ss,initial,swab,Ss (control),euthanased,0.388286561,
Ri7.1.7,04/07/17,Ri7,Ss,initial,swab,Ss (control),euthanased,0.13809476,
Ri7.1.8,04/07/17,Ri7,Ss,initial,swab,Ss (control),euthanased,0,
Ri7.1.9,04/07/17,Ri7,Ss,initial,swab,Ss (control),euthanased,0,
Ri8.1.1,04/07/17,Ri8,Ss,initial,swab,Ss + Bs,euthanased,0.126883034,
Ri8.1.10,04/07/17,Ri8,Ss,initial,swab,Ss + Bs,euthanased,0.016511099,
Ri8.1.2,04/07/17,Ri8,Ss,initial,swab,Ss + Bs,euthanased,0,
Ri8.1.3,04/07/17,Ri8,Ss,initial,swab,Ss + Bs,euthanased,0,
Ri8.1.4,04/07/17,Ri8,Ss,initial,swab,Ss + Bs,euthanased,1.589553058,
Ri8.1.5,04/07/17,Ri8,Ss,initial,swab,Ss + Bs,euthanased,0.10250479,
Ri8.1.6,04/07/17,Ri8,Ss,initial,swab,Ss + Bs,euthanased,0,
